Age,Gender,Country,family_history,work_interfere,no_employees,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
27,Male,Canada,Yes,Sometimes,1-5,No,Yes,No,No,Yes,'Very difficult',Maybe,No,'Some of them',No,No,Yes,No,Yes
18,Male,Netherlands,No,Often,6-25,No,'Not sure',No,No,'Dont know','Somewhat difficult',Yes,Maybe,No,No,No,No,No,No
30,Male,'United States',No,Sometimes,26-100,'Dont know',No,No,No,'Dont know','Dont know',No,No,No,No,Maybe,'Dont know',No,Yes
38,Female,'United States',Yes,Sometimes,26-100,Yes,Yes,No,Yes,Yes,'Somewhat easy',No,No,'Some of them',No,No,Yes,No,Yes
28,Male,'United Kingdom',No,NA,26-100,'Dont know','Not sure',No,No,'Dont know','Dont know',No,Maybe,'Some of them',Maybe,Yes,'Dont know',No,No
34,Male,'United States',No,NA,6-25,No,No,No,No,'Dont know','Dont know',No,No,Yes,Maybe,Yes,'Dont know',No,No
26,Male,Canada,No,Sometimes,1-5,No,Yes,Yes,No,'Dont know','Dont know',No,No,Yes,No,No,Yes,No,No
30,Male,'United States',Yes,Rarely,26-100,Yes,No,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
22,Male,'United States',Yes,Often,6-25,No,Yes,No,No,Yes,'Very difficult',Maybe,No,No,No,Maybe,'Dont know',No,Yes
33,Male,'United States',No,NA,100-500,'Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
31,Male,'United States',No,NA,100-500,'Dont know',No,'Dont know','Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',Maybe,Maybe,'Dont know',No,No
32,Male,'United States',No,Never,1-5,'Dont know','Not sure',No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
28,Male,Switzerland,No,NA,100-500,No,No,No,No,'Dont know','Dont know',No,No,No,No,Maybe,'Dont know',No,No
27,Male,'United States',Yes,Rarely,26-100,Yes,Yes,No,No,Yes,'Dont know',Maybe,No,No,No,No,'Dont know',No,Yes
32,Male,'United States',Yes,NA,6-25,'Dont know',No,No,No,'Dont know','Somewhat easy',No,No,Yes,No,No,Yes,No,No
24,Male,'United States',Yes,Sometimes,26-100,'Dont know',No,No,No,'Dont know','Dont know',No,Maybe,'Some of them',Yes,Yes,No,No,Yes
26,Male,'United States',No,NA,26-100,No,No,No,No,Yes,'Somewhat easy',No,No,'Some of them',Maybe,Yes,'Dont know',No,No
33,Male,Canada,Yes,Often,6-25,'Dont know',No,No,No,No,'Somewhat difficult',Yes,No,No,No,Maybe,'Dont know',No,Yes
44,Male,'United States',Yes,Sometimes,'More than 1000',Yes,No,No,'Dont know','Dont know','Dont know',Yes,Maybe,'Some of them',No,Maybe,'Dont know',Yes,Yes
26,Female,Poland,No,Sometimes,26-100,'Dont know','Not sure',Yes,Yes,Yes,'Very easy',No,No,Yes,Maybe,Yes,Yes,No,Yes
27,Male,'United Kingdom',No,Never,100-500,Yes,'Not sure',No,Yes,'Dont know','Somewhat easy',No,No,Yes,Maybe,Maybe,Yes,No,No
26,Male,France,No,NA,26-100,No,No,No,No,'Dont know','Very easy',Yes,No,No,No,No,No,Yes,No
35,Male,Canada,No,Sometimes,6-25,'Dont know',No,No,No,'Dont know','Somewhat easy',No,No,'Some of them',No,Maybe,'Dont know',No,No
40,Male,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,Yes,Yes,'Dont know','Dont know',Yes,Maybe,'Some of them',No,No,No,Yes,No
23,Female,Australia,Yes,Often,1-5,No,'Not sure',No,No,'Dont know','Very easy',No,No,'Some of them',No,Maybe,Yes,No,Yes
36,Male,'United States',No,Sometimes,100-500,Yes,No,'Dont know',Yes,'Dont know','Dont know',Maybe,No,'Some of them',Maybe,Yes,Yes,No,No
31,Female,'United States',No,NA,26-100,'Dont know',No,'Dont know','Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
34,Male,'United States',No,Rarely,1-5,No,No,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
28,Male,France,No,Never,26-100,No,No,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
34,Male,Canada,No,Never,6-25,'Dont know','Not sure','Dont know','Dont know','Dont know','Somewhat easy',No,No,'Some of them',No,No,'Dont know',No,No
23,Trans,'United States',No,Rarely,'More than 1000',Yes,Yes,No,No,Yes,'Somewhat difficult',Maybe,No,Yes,No,No,No,No,No
38,Male,'United Kingdom',No,NA,26-100,No,No,No,'Dont know',Yes,'Somewhat easy',No,No,'Some of them',Maybe,Yes,Yes,No,No
33,Male,'United States',No,Never,'More than 1000','Dont know','Not sure',Yes,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,Yes,No,No
19,Male,'United Kingdom',No,NA,1-5,No,Yes,No,No,No,'Somewhat difficult',Yes,No,No,No,Maybe,No,No,No
25,Male,'United States',No,NA,'More than 1000',Yes,Yes,Yes,Yes,'Dont know','Dont know',No,No,Yes,Maybe,Yes,Yes,No,No
31,Male,'United States',Yes,Sometimes,1-5,No,No,No,No,Yes,'Somewhat difficult',No,No,Yes,Maybe,Maybe,Yes,No,No
32,Male,'United States',Yes,Sometimes,26-100,No,No,No,No,'Dont know','Somewhat difficult',Yes,No,'Some of them',No,Yes,No,No,Yes
28,Male,Germany,No,Never,6-25,'Dont know',No,'Dont know','Dont know','Dont know','Very easy',No,No,'Some of them',Maybe,Yes,Yes,No,No
38,Male,'United States',Yes,Sometimes,100-500,Yes,Yes,No,Yes,'Dont know','Dont know',No,No,Yes,Maybe,Maybe,Yes,No,No
23,Male,'United Kingdom',No,Never,26-100,Yes,'Not sure',Yes,'Dont know','Dont know','Very easy',No,No,'Some of them',Maybe,Maybe,Yes,No,No
30,Male,Canada,No,Never,26-100,No,No,No,No,'Dont know','Dont know',No,No,'Some of them',No,No,No,No,No
27,Female,'United States',No,Often,1-5,Yes,Yes,Yes,Yes,Yes,'Very easy',Maybe,Maybe,'Some of them',No,Maybe,Yes,No,Yes
33,Male,'United States',Yes,Never,'More than 1000',No,No,No,No,'Dont know','Dont know',Yes,No,No,No,Maybe,No,No,No
31,Male,'United States',No,NA,26-100,'Dont know','Not sure',No,No,'Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,No,No,No
39,Male,'United Kingdom',No,Often,6-25,No,No,No,No,'Dont know','Very difficult',Maybe,No,'Some of them',No,Maybe,No,Yes,Yes
34,Female,'United States',Yes,Rarely,500-1000,Yes,'Not sure',No,'Dont know','Dont know','Dont know',Yes,Maybe,'Some of them',No,No,'Dont know',No,Yes
29,Female,'United States',No,Sometimes,26-100,Yes,Yes,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,No,Yes,Yes
32,Male,'United States',No,NA,500-1000,'Dont know',No,No,'Dont know','Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',No,No
31,Male,'United States',No,Never,500-1000,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',No,No,'Some of them',No,No,Yes,No,No
40,Male,'United States',No,Sometimes,26-100,No,Yes,No,No,Yes,'Very difficult',No,No,Yes,Yes,Yes,No,No,Yes
34,Male,'United States',No,NA,26-100,'Dont know',No,No,No,'Dont know','Somewhat easy',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
18,Trans,Russia,No,NA,26-100,Yes,Yes,No,No,Yes,'Somewhat easy',No,No,Yes,Yes,Yes,'Dont know',No,No
25,Female,Canada,No,Sometimes,26-100,Yes,Yes,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,Yes
29,Male,'United States',No,Never,26-100,'Dont know',No,No,'Dont know','Dont know','Dont know',No,No,Yes,Maybe,Maybe,No,No,No
24,Male,'United States',Yes,Rarely,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Somewhat easy',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',No,No
31,Male,Mexico,Yes,Sometimes,6-25,'Dont know',No,No,No,'Dont know','Dont know',No,No,'Some of them',Maybe,Yes,No,No,Yes
33,Male,'United States',No,Sometimes,6-25,No,Yes,No,No,'Dont know','Somewhat easy',Maybe,No,'Some of them',No,Maybe,No,No,Yes
30,Male,'United States',No,Often,1-5,No,Yes,No,No,Yes,'Somewhat easy',No,No,Yes,Maybe,Maybe,Yes,No,Yes
26,Female,Canada,Yes,Sometimes,26-100,No,Yes,No,No,No,'Very difficult',Yes,No,No,No,Maybe,No,Yes,Yes
44,Female,'United States',No,Never,100-500,Yes,'Not sure','Dont know','Dont know','Dont know','Dont know',Maybe,Maybe,No,No,No,'Dont know',No,No
25,Male,'United States',Yes,NA,26-100,'Dont know',No,'Dont know','Dont know','Dont know','Very easy',No,No,'Some of them',No,No,'Dont know',No,No
33,Male,'United States',Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',No,No,'Some of them',Maybe,Maybe,Yes,No,Yes
29,Male,'United States',No,Never,'More than 1000',Yes,'Not sure',Yes,'Dont know','Dont know','Somewhat easy',No,No,'Some of them',No,No,'Dont know',No,No
35,Male,'United States',Yes,Rarely,6-25,Yes,'Not sure',No,No,Yes,'Somewhat easy',No,No,'Some of them',No,No,'Dont know',No,No
35,Male,'United States',Yes,Sometimes,26-100,'Dont know','Not sure',No,No,'Dont know','Somewhat easy',No,No,'Some of them',No,Maybe,No,No,Yes
28,Male,Brazil,Yes,Rarely,6-25,No,No,No,No,No,'Dont know',Maybe,No,Yes,No,No,'Dont know',Yes,Yes
34,Male,'United States',Yes,Never,6-25,Yes,No,No,No,'Dont know','Dont know',Maybe,No,No,No,No,'Dont know',No,No
32,Male,'United States',No,Sometimes,26-100,Yes,No,Yes,Yes,Yes,'Somewhat difficult',Maybe,No,'Some of them',No,Maybe,Yes,No,Yes
22,Male,'United States',No,Sometimes,500-1000,Yes,Yes,No,'Dont know',Yes,'Dont know',Yes,No,No,No,Yes,No,No,Yes
28,Male,'United States',No,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',No,No,'Some of them',No,Maybe,Yes,No,Yes
45,Male,'United States',Yes,Rarely,6-25,Yes,Yes,No,Yes,Yes,'Very easy',No,No,Yes,Yes,Yes,Yes,No,Yes
32,Male,'United States',No,Never,100-500,Yes,Yes,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
28,Male,'United States',No,NA,'More than 1000','Dont know',No,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
26,Male,'United Kingdom',No,Never,6-25,'Dont know',No,No,'Dont know','Dont know','Very easy',No,No,'Some of them',No,No,'Dont know',Yes,No
21,Male,'United Kingdom',No,Often,1-5,No,Yes,No,No,Yes,'Very difficult',Yes,No,'Some of them',No,Maybe,No,No,No
27,Male,Canada,No,Rarely,6-25,Yes,Yes,Yes,Yes,Yes,'Very easy',Maybe,No,'Some of them',No,No,'Dont know',No,No
18,Male,'United States',No,Rarely,1-5,No,No,No,No,Yes,'Very easy',No,No,'Some of them',No,No,'Dont know',No,Yes
35,Male,'United States',No,NA,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
29,Male,'United States',No,Never,'More than 1000',Yes,Yes,No,Yes,'Dont know','Dont know',Yes,Yes,No,No,No,'Dont know',No,No
25,Male,'United States',No,NA,26-100,'Dont know',No,No,No,'Dont know','Very easy',No,No,'Some of them',No,No,'Dont know',No,No
33,Male,'United States',Yes,Sometimes,6-25,'Dont know',No,'Dont know','Dont know',Yes,'Very easy',No,No,Yes,No,Maybe,Yes,No,Yes
36,Male,'United States',No,Often,6-25,Yes,No,No,No,Yes,'Dont know',Maybe,No,No,No,No,'Dont know',No,No
27,Male,Canada,No,Never,100-500,Yes,'Not sure',No,No,'Dont know','Very difficult',Maybe,No,'Some of them',No,Maybe,No,Yes,Yes
27,Male,'United States',Yes,Never,500-1000,Yes,No,Yes,Yes,Yes,'Dont know',Yes,No,'Some of them',No,Yes,'Dont know',No,No
27,Male,'United Kingdom',No,NA,6-25,No,No,No,No,'Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',No,No
32,Male,'United States',No,Rarely,100-500,Yes,Yes,No,Yes,Yes,'Dont know',Yes,No,No,No,No,'Dont know',No,Yes
31,Male,'United Kingdom',Yes,Sometimes,6-25,No,No,No,No,'Dont know','Somewhat easy',Maybe,Maybe,No,No,No,Yes,No,No
19,Male,Slovenia,No,Sometimes,6-25,'Dont know',No,No,No,'Dont know','Somewhat easy',Yes,Yes,'Some of them',No,No,'Dont know',No,Yes
33,Male,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,No,No,'Dont know','Very easy',Maybe,No,Yes,No,Yes,No,No,Yes
32,Male,'United States',No,Rarely,1-5,No,Yes,No,No,'Dont know','Very difficult',Maybe,No,Yes,No,Yes,'Dont know',No,No
27,Male,'United States',No,Never,26-100,'Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',No,No,Yes,Maybe,Maybe,'Dont know',No,No
38,Male,'Costa Rica',No,NA,26-100,No,Yes,No,No,Yes,'Somewhat easy',No,No,Yes,Maybe,Yes,No,No,No
24,Male,Canada,No,Never,26-100,'Dont know',No,No,No,'Dont know','Dont know',No,No,'Some of them',Maybe,Yes,'Dont know',No,Yes
39,Male,'United Kingdom',No,Never,26-100,No,No,No,No,'Dont know','Dont know',Yes,Maybe,No,No,No,'Dont know',No,No
28,Male,'United Kingdom',No,Never,6-25,'Dont know',No,No,No,Yes,'Very easy',No,No,'Some of them',Maybe,Maybe,Yes,No,No
39,Male,'United States',No,Often,'More than 1000',Yes,'Not sure',No,No,'Dont know','Somewhat easy',No,No,Yes,No,No,'Dont know',No,Yes
29,Female,'United States',No,NA,6-25,'Dont know',No,No,'Dont know','Dont know','Somewhat easy',Maybe,No,'Some of them',No,No,'Dont know',No,No
22,Male,Austria,No,NA,6-25,'Dont know',No,'Dont know',No,'Dont know','Somewhat easy',No,No,'Some of them',No,No,'Dont know',No,No
38,Male,'United States',Yes,Sometimes,100-500,'Dont know',No,'Dont know','Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
37,Male,'United Kingdom',No,Sometimes,'More than 1000',No,Yes,Yes,Yes,Yes,'Very difficult',Yes,Yes,'Some of them',No,Maybe,Yes,No,Yes
35,Male,'United States',No,Never,26-100,'Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',Yes,No,'Some of them',No,Maybe,'Dont know',No,No
30,Female,'United States',Yes,NA,'More than 1000','Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',No,No
37,Male,'United States',Yes,Rarely,100-500,Yes,Yes,Yes,Yes,'Dont know','Somewhat easy',Maybe,Maybe,'Some of them',Maybe,Maybe,'Dont know',No,Yes
24,Male,'United Kingdom',No,Never,6-25,No,No,No,No,Yes,'Dont know',Maybe,Maybe,No,No,No,'Dont know',No,No
23,Male,'United States',No,Sometimes,6-25,No,No,No,No,No,'Somewhat easy',Yes,Yes,No,No,No,No,No,No
30,Male,Ireland,No,Rarely,100-500,No,Yes,Yes,Yes,'Dont know','Somewhat easy',Yes,No,'Some of them',No,No,No,Yes,Yes
29,Female,'United States',No,NA,100-500,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,No,No,No,Maybe,'Dont know',No,No
19,Male,Canada,Yes,NA,1-5,'Dont know','Not sure',No,Yes,Yes,'Somewhat easy',Maybe,No,'Some of them',Maybe,Maybe,'Dont know',No,No
32,Male,'United States',Yes,Never,26-100,'Dont know','Not sure',No,No,'Dont know','Very easy',No,No,'Some of them',No,Maybe,No,No,No
28,Male,Poland,No,Rarely,6-25,No,No,No,No,'Dont know','Dont know',No,No,Yes,Maybe,Yes,Yes,No,No
36,Male,'United States',No,Never,6-25,'Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
37,Male,'United Kingdom',Yes,Rarely,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Somewhat difficult',Yes,Maybe,'Some of them',No,Yes,No,Yes,Yes
25,Male,'United States',Yes,Sometimes,26-100,'Dont know',No,No,'Dont know','Dont know','Somewhat difficult',Maybe,No,'Some of them',No,Maybe,No,No,Yes
27,Male,'United States',Yes,Sometimes,'More than 1000','Dont know',No,No,'Dont know','Dont know','Dont know',No,No,No,No,Maybe,'Dont know',No,Yes
26,Male,'United States',No,Often,26-100,'Dont know','Not sure',No,No,'Dont know','Dont know',Yes,Maybe,'Some of them',No,Maybe,No,No,No
27,Male,'United States',No,Rarely,26-100,No,Yes,No,No,'Dont know','Somewhat difficult',Maybe,No,'Some of them',No,No,'Dont know',Yes,Yes
25,Male,'United States',Yes,Sometimes,26-100,'Dont know','Not sure',No,No,'Dont know','Very easy',Maybe,No,'Some of them',No,No,'Dont know',Yes,Yes
36,Male,'United Kingdom',No,Sometimes,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Somewhat easy',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',Yes,Yes
25,Female,'United States',Yes,Sometimes,500-1000,Yes,No,No,No,'Dont know','Dont know',Yes,Yes,'Some of them',No,No,'Dont know',No,Yes
31,Male,'United States',No,Never,'More than 1000',Yes,No,No,Yes,'Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',No,No
26,Male,'United States',Yes,Rarely,6-25,'Dont know',No,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
33,Female,'United States',Yes,Sometimes,1-5,No,Yes,Yes,Yes,Yes,'Very difficult',No,No,'Some of them',No,Yes,Yes,No,Yes
27,Female,'United Kingdom',Yes,NA,1-5,No,Yes,No,No,Yes,'Somewhat easy',No,No,Yes,No,Maybe,Yes,No,No
34,Male,'United States',No,Never,26-100,No,No,No,No,'Dont know','Very easy',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
42,Male,'United States',No,NA,6-25,No,Yes,No,No,'Dont know','Very difficult',Maybe,No,Yes,No,Maybe,No,No,No
23,Male,Ireland,Yes,Sometimes,1-5,No,No,No,No,'Dont know','Very difficult',Yes,No,No,No,Maybe,No,No,No
24,Male,'United Kingdom',No,Rarely,100-500,'Dont know','Not sure',Yes,'Dont know','Dont know','Very easy',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',No,No
26,Male,'United Kingdom',No,Sometimes,'More than 1000',Yes,Yes,'Dont know','Dont know',Yes,'Somewhat easy',No,No,Yes,No,No,'Dont know',No,Yes
31,Male,'United Kingdom',No,Often,6-25,'Dont know',No,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,Yes
22,Male,India,No,Never,'More than 1000','Dont know','Not sure',No,No,'Dont know','Very difficult',Yes,Maybe,No,Maybe,Maybe,No,No,Yes
23,Female,'United States',No,NA,6-25,'Dont know',No,No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,Maybe,Yes,No,No
34,Female,Canada,Yes,Sometimes,'More than 1000',Yes,Yes,Yes,No,'Dont know','Somewhat easy',No,No,'Some of them',No,No,No,No,Yes
31,Male,'United States',No,Never,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,No,No,No,Maybe,'Dont know',No,No
28,Male,'United Kingdom',No,NA,100-500,No,'Not sure',No,Yes,Yes,'Somewhat easy',No,No,'Some of them',Maybe,Maybe,Yes,No,No
32,Female,'United States',No,Often,6-25,Yes,'Not sure','Dont know','Dont know',Yes,'Very easy',No,No,Yes,No,No,Yes,Yes,Yes
45,Female,'United States',No,Sometimes,1-5,Yes,No,No,No,Yes,'Somewhat difficult',No,No,Yes,No,No,Yes,No,Yes
33,Male,'United States',No,NA,6-25,'Dont know',No,No,No,'Dont know','Very easy',No,No,Yes,No,Maybe,'Dont know',No,No
29,Male,Mexico,No,Never,6-25,No,No,No,No,No,'Dont know',Maybe,Maybe,No,Maybe,Yes,No,No,No
26,Female,India,No,Sometimes,6-25,No,No,No,No,'Dont know','Somewhat easy',Maybe,Maybe,'Some of them',No,No,'Dont know',No,No
28,Female,'United Kingdom',No,Never,26-100,'Dont know',No,No,'Dont know',Yes,'Somewhat easy',No,No,Yes,Maybe,Maybe,'Dont know',No,No
45,Male,'United States',No,Sometimes,'More than 1000','Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',Yes,Yes,'Some of them',No,No,'Dont know',No,Yes
43,Male,'United States',Yes,Often,'More than 1000',Yes,'Not sure',No,'Dont know','Dont know','Very difficult',Yes,Maybe,No,No,No,No,No,Yes
37,Male,'United States',No,NA,500-1000,Yes,No,No,No,'Dont know','Dont know',Yes,No,'Some of them',Maybe,Yes,No,No,No
24,Male,'United Kingdom',No,Sometimes,6-25,'Dont know',No,No,'Dont know','Dont know','Somewhat easy',Maybe,No,'Some of them',Maybe,Yes,Yes,No,No
26,Male,France,No,NA,6-25,No,Yes,No,No,'Dont know','Somewhat easy',No,No,'Some of them',No,Maybe,Yes,No,No
23,Male,'United Kingdom',Yes,NA,1-5,'Dont know',No,No,No,'Dont know','Dont know',No,No,'Some of them',Maybe,Yes,'Dont know',No,No
35,Female,'United States',Yes,Never,'More than 1000',Yes,'Not sure','Dont know',No,Yes,'Somewhat easy',Maybe,No,No,No,No,'Dont know',No,Yes
38,Female,'South Africa',Yes,Often,1-5,No,Yes,No,No,Yes,'Somewhat easy',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',Yes,Yes
28,Male,'United States',Yes,Sometimes,26-100,Yes,No,No,No,'Dont know','Somewhat easy',Maybe,Maybe,'Some of them',No,Maybe,No,No,Yes
28,Male,Russia,No,Sometimes,26-100,No,No,No,No,'Dont know','Dont know',Yes,Maybe,No,No,Maybe,'Dont know',No,No
35,Male,'United States',No,Rarely,6-25,No,No,No,No,Yes,'Dont know',No,No,'Some of them',No,No,'Dont know',No,Yes
32,Female,Germany,No,Sometimes,100-500,No,No,No,No,'Dont know','Very difficult',Yes,Yes,'Some of them',No,No,No,Yes,No
31,Male,Italy,Yes,Never,6-25,No,No,No,No,'Dont know','Somewhat easy',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',No,No
35,Female,'United States',No,Never,500-1000,'Dont know','Not sure',No,No,'Dont know','Dont know',Maybe,Maybe,'Some of them',No,No,'Dont know',No,No
26,Male,'United States',No,Rarely,'More than 1000',Yes,No,No,No,Yes,'Somewhat easy',No,No,'Some of them',No,Maybe,No,No,No
27,Male,'United States',Yes,NA,6-25,Yes,Yes,No,No,'Dont know','Somewhat easy',Maybe,Maybe,'Some of them',No,Maybe,Yes,No,No
28,Male,'United Kingdom',Yes,Sometimes,'More than 1000','Dont know',No,No,No,'Dont know','Dont know',Maybe,Maybe,'Some of them',No,Maybe,'Dont know',No,Yes
27,Female,'United States',Yes,Sometimes,26-100,Yes,No,No,No,'Dont know','Very easy',No,No,'Some of them',No,No,Yes,No,Yes
34,Female,'United States',No,Sometimes,500-1000,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',Maybe,No,'Some of them',No,No,Yes,No,Yes
41,Male,'United States',No,Often,6-25,No,'Not sure',No,No,'Dont know','Very difficult',Maybe,Maybe,'Some of them',Maybe,Maybe,'Dont know',No,Yes
37,Male,Ireland,No,Sometimes,1-5,No,Yes,No,No,'Dont know','Very difficult',Yes,No,No,No,Yes,'Dont know',No,No
34,Male,Austria,Yes,NA,100-500,'Dont know',No,'Dont know','Dont know','Dont know','Very easy',No,No,Yes,No,No,Yes,No,No
32,Male,'United Kingdom',Yes,Sometimes,100-500,'Dont know','Not sure',No,No,'Dont know','Somewhat difficult',Yes,Maybe,No,No,No,No,Yes,Yes
